Author,Title,Filename
Bruce Andrews,"WhDiP, a sequence from White Dialect Poetry",Unpub_001_Andrews_Whdip.pdf
Bruce Andrews,Libretto from White Dialect Poetry,Unpub_002_Andrews_Libretto.pdf
Robert Fitterman,Hi My Name Is: A Libretto,Unpub_003_Fitterman_Hi.pdf
Doug Nufer,Rumor,Unpub_004_Nufer_Rumor.pdf
Claude Closky,Couché sur le ventre,Unpub_005_Closky_Couche.pdf
Stephen Dirle,Onan The Illiterate,Unpub_006_Dirle_Onan.pdf
Kimberly J. Rosenfield,The Unsurpassed Joy,Unpub_007_Rosenfield_Unsurpassed.pdf
Simon Morris,An Intolerable Piece of Writing:  Pedagogy as Performed Absence ,Unpub_008_Morris_Intolerable.pdf
Craig Dworkin,Maps,Unpub_009_Dworkin_Maps.pdf
Peter Manson,English in Mallarmé,Unpub_010_Manson_Mallarme.pdf
Jamba Dunn,American Dust,Unpub_011_Dunn_American.pdf
George Kuchar,The Kiss of Frankenstein,Unpub_012_Kuchar_Frankenstein.pdf
Tim Davis - Sweet Little Racist Landscape Suite,"Low Resolution - 7pp (PDF, 4mb)",Unpub_013_TDavis_SweetLoRes.pdf
Brian Kim Stefans,"Booty, Egg On",Unpub_014_Stefans_Booty.pdf
Brian J. Davis,Voice Over,Unpub_015_BJDavis_VoiceOver.pdf
Mary Jo Bang,By M,Unpub_016_Bang_ByM.pdf
Michael Scharf,"Selected Criticism, Jeffrey Jullich",Unpub_017_Jullich_Selected-Criticism.pdf
Tan Lin,BIB.,Unpub_018_Lin_BIB.pdf
M&oacute;nica de la Torre,Overkill: First Poems in English  (1993-1995),Unpub_019_DeLaTorre_Overkill.pdf
Jeremy Sigler,Math,Unpub_020_Sigler_Math.pdf
Jon Cotner &amp; Andy Fitch,from Conversations Over Stolen Food,Unpub_021_CotnerFitch_Conversations.pdf
Christian B&ouml;k,The Xenotext Experiment,Unpub_022_Bok_Xenotext.pdf
Tom Johnson,The Voice of New Music (1972-1982),Unpub_023_Johnson.pdf
Ara Shirinyan,Speech Genres 1-2,Unpub_024_Shirinyan_Speech-Genres.pdf
Stephen Ratcliffe,Cloud / Ridge,Unpub_025_Ratcliffe_Cloud.pdf
Stephen Ratcliffe,Human / Nature,Unpub_026_Ratcliffe_Human.pdf
Eir&iacute;kur &Ouml;rn Nordahl,"Hemd stafakarlanna, 1.hluti",Unpub_027_Nordhal.pdf
Charles Bernstein,Three Works,Unpub_028_Bernstein.pdf
Michael Coffey,Magnus Cooney,Unpub_029_Coffey.pdf
Raphael Rubinstein,Through a Blue Field,Unpub_030_Rubinstein.pdf
Kenneth Goldsmith,All The Numbers From Numbers,Unpub_031_Goldsmith.pdf
Alan Licht,Spring Without Alan Licht / Dime Double Minutemen Nickels On The / Lou Reed Minus Lou Reed / (Give Them Enough Nope),Unpub_032_Licht.pdf
Elisabeth S. Clark,Between Words,Unpub_033_Clark.pdf
Derek Beaulieu,How To Write / How To Edit,Unpub_034_Beaulieu.pdf
Eleanor Brown,A Play on Words,Unpub_035_Brown.pdf
Barry Schwabsky,Two Poems Circa 1992,Unpub_036_Schwabsky.pdf
Mair&eacute;ad Byrne,Example As Figure,Unpub_037_Byrne.pdf
Mark Peters,Men,Unpub_038_Peters.pdf
Dannielle Tegeder,Falling Apart NYC,Unpub_039_Tegeder.pdf
"Stephen McLauglin, Vladimir Zykov, Gregory Laynor, James Carpenter",Issue 1,Unpub_040_Issue1.pdf
Vincent Katz,Shopping For Oliver's Chili,Unpub_041_Katz.pdf
Vanessa Place,Statement of Facts,Unpub_042_Place.pdf
Dana Teen Lomax,Disclosure,Unpub_043_Lomax.pdf
Hans Ulrich Obrist &  Rirkrit Tiravanija,Hurricane ,Unpub_044_Obrist-Tiravanija.pdf
Erik Belgum,THE_CITY Battery: a Neurological Evaluation of THE_CITY ,Unpub_045_Belgum.pdf
Ryan Trecartin,K-CoreaINC.K (Section A),Unpub_046_Trecartin.pdf
Anna Gray &amp; Ryan Wilson Paulsen,One-Way Street: An Index,Unpub_047_Gray-Paulsen.pdf
Christian Bjoljahn &amp; Martin Johs. M&#xF8;ller,Flytning,Unpub_048_Bjoljahn-Moller.pdf
Franck Leibovici,"""9+11""",Leibovici-Franck_9+11.pdf
Joachim Georg Schmitt,ingredients,Unpub_050_Schmitt.pdf
Martin Glaz Serup,The Field,Unpub_051_Serup.pdf
Carlos Rowles,The History,Unpub_052_Rowles.pdf
Fabian Peake,Amalgam: Collection of poems and writings 2000 - 2010,Unpub_053_Peake.pdf
Casey Smith,Opulent Stone Moccasins,Unpub_054_Smith.pdf
Steve Giasson,II,Unpub_056_Giasson.pdf
Doug Nufer,The Dammed,Unpub_057_Nufer.pdf
Michel Melamed,Regurgitofagia,Unpub_058_Melamed.pdf
Feliz Molina,Nail Hearts Clip Epistolary Fantasy Blog from 2009-2010,Unpub_059_Molina.pdf
